Queried Name,Returned Name,companies._count,companies._start,companies._total,companies.values[0].companyType.code,companies.values[0].companyType.name,companies.values[0].emailDomains._total,companies.values[0].employeeCountRange.code,companies.values[0].employeeCountRange.name,companies.values[0].foundedYear,companies.values[0].id,companies.values[0].industries._total,companies.values[0].industries.values[0].code,companies.values[0].industries.values[0].name,companies.values[0].locations.values[0].address.city,companies.values[0].locations.values[0].address.postalCode,companies.values[0].locations.values[0].address.street1,companies.values[0].locations.values[0].contactInfo.fax,companies.values[0].locations.values[0].contactInfo.phone1,companies.values[0].locations.values[0].isActive,companies.values[0].locations.values[0].isHeadquarters,companies.values[0].locations.values[1].address.city,companies.values[0].locations.values[1].address.postalCode,companies.values[0].locations.values[1].address.street1,companies.values[0].locations.values[1].contactInfo.fax,companies.values[0].locations.values[1].contactInfo.phone1,companies.values[0].locations.values[1].isActive,companies.values[0].locations.values[1].isHeadquarters,companies.values[0].locations.values[3].address.city,companies.values[0].locations.values[3].address.postalCode,companies.values[0].locations.values[3].address.street1,companies.values[0].locations.values[3].contactInfo.fax,companies.values[0].locations.values[3].contactInfo.phone1,companies.values[0].locations.values[3].isActive,companies.values[0].locations.values[3].isHeadquarters,companies.values[0].numFollowers,companies.values[0].specialties._total,companies.values[0].specialties.values[0],companies.values[0].specialties.values[10],companies.values[0].specialties.values[11],companies.values[0].specialties.values[12],companies.values[0].specialties.values[13],companies.values[0].specialties.values[14],companies.values[0].specialties.values[15],companies.values[0].specialties.values[16],companies.values[0].specialties.values[17],companies.values[0].specialties.values[18],companies.values[0].specialties.values[19],companies.values[0].specialties.values[1],companies.values[0].specialties.values[20],companies.values[0].specialties.values[21],companies.values[0].specialties.values[22],companies.values[0].specialties.values[23],companies.values[0].specialties.values[24],companies.values[0].specialties.values[25],companies.values[0].specialties.values[26],companies.values[0].specialties.values[27],companies.values[0].specialties.values[28],companies.values[0].specialties.values[29],companies.values[0].specialties.values[2],companies.values[0].specialties.values[30],companies.values[0].specialties.values[31],companies.values[0].specialties.values[32],companies.values[0].specialties.values[33],companies.values[0].specialties.values[34],companies.values[0].specialties.values[35],companies.values[0].specialties.values[36],companies.values[0].specialties.values[37],companies.values[0].specialties.values[38],companies.values[0].specialties.values[39],companies.values[0].specialties.values[3],companies.values[0].specialties.values[40],companies.values[0].specialties.values[41],companies.values[0].specialties.values[42],companies.values[0].specialties.values[43],companies.values[0].specialties.values[44],companies.values[0].specialties.values[45],companies.values[0].specialties.values[46],companies.values[0].specialties.values[47],companies.values[0].specialties.values[48],companies.values[0].specialties.values[49],companies.values[0].specialties.values[4],companies.values[0].specialties.values[50],companies.values[0].specialties.values[51],companies.values[0].specialties.values[52],companies.values[0].specialties.values[5],companies.values[0].specialties.values[6],companies.values[0].specialties.values[7],companies.values[0].specialties.values[8],companies.values[0].specialties.values[9],companies.values[0].status.code,companies.values[0].status.name,companies.values[0].twitterId,companies.values[0].websiteUrl
A.E. LIMA S.A.C.,NAVICON S.A.,1,2,90,P,Privately Held,0,E,201-500,N/A,593785,1,116,Logística y cadena de suministro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CABA,1228,"Lavalle 482, 1º, 2º, 7º, 8º y 9º, Cap. Fed.",N/A,(54-11) 5288-1600,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1736,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,www.navicon.com.ar
A.M.L SECURITY E.I.R.L.,DI.M.A.R.C.A.SERVICE S.R.L.,N/A,N/A,1,P,Privately Held,0,C,11-50,1972,5080346,1,55,Maquinaria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ROMA,00192,"VIA PIETRO GIANNONE,27",N/A,N/A,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34,3,impianti antincendio,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,porte e paratie tagliafuoco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,formazione personale in materia di safety & security,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,www.dimarcaservice.com
A.R ACABADOS DE LA CONSTRUCCION E.I.R.L.,REVASA SERVICIOS GENERALES EIRL,1,2,4,O,Self Owned,0,B,2-10,2017,11344187,1,135,Ingeniería industrial o mecánica,LIMA,051,MZ H1 LT 8 ,N/A,N/A,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,7,Instalaciones eléctricas industrial y domiciliarias,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mantenimiento y reparación de maquinarias pesada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acabados de edificaciones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mantenimiento de pozo a tierra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mantenimiento de tableros eléctricos,N/A,N/A,N/A,Mantenimiento y reparación de sistemas automatizados,Mantenimiento a grupos electrógenos,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AA & COMPANY GROUP S.A.C.,AIRTEMP DE MÉXICO,1,1,2,C,Public Company,0,G,1001-5000,1982,10776183,1,53,Sector automovilístico,UMAN,97390,KM 10 CARRETERA MERIDA-UMAN TAB. RUSTICO 4193,N/A,(52) 9999304100,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,123,9,DISEÑO A/A AUTOMOTRIZ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,CONDENSADORES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,EVAPORADORES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RADIADORES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,MOTOVENTILADORES,N/A,N/A,N/A,H-VAC,INTERCAMBIADORES DE CALOR,OIL COOLER,INYECCION DE PLASTICOS,N/A,OPR,Operating,N/A,www.airtemp.com.mx
ABLE PERU S.A.C.,proveeduria lionard s.a.c,1,0,3,P,Privately Held,0,C,11-50,2005,576843,1,34,Alimentación y bebidas,CALLAO,CALLAO 1,Av.DULOPOYI 824 LA PERLA CALLAO,4295252,4533338,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1477,1,provee a los barcos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,.maritimalionard@terra.com
AC & V CORPORATION E.I.R.L,P.I.K.V. - S.R.L.,1,2,4,N/A,N/A,0,C,11-50,N/A,24672761,1,48,Construcción,ROMA,00192,PIAZZA DELLA LIBERTA  10,N/A,+39 918113878,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ACCESORIOS LIMA E.I.R.L.,INDUSTRIA TECHNI PERÚ EIRL,1,2,3,O,Self Owned,0,C,11-50,2014,16215901,1,134,Importar y exportar,VENTANILLA,CALLAO06,AV. LOS PROFESIONALES S/N MZ. D LOTE 01 SANTA ROSA DE PACHACÚTEC,N/A,506-7627,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,4,MANTENIMIENTO Y REPARACION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BOMBAS DE VACÍO Y BOMBAS DE AGUA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"IMPORTACION, VENTA Y ALQUILER DE BOMBAS",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TORNERIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,http://techniperu.com/
ACCESORIOS PARA LA INDUSTRIA C & S S.A.C.,SEDISA S.A.C,1,2,51,P,Privately Held,0,C,11-50,1988,490076,1,135,Ingeniería industrial o mecánica,LIMA,LIMA 33,Oficina: Avenida Circunvalación  Golf Los Incas 154 - Edificio Capital Golf Lima,N/A,N/A,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,382,4,"Soldaduras, Máquinas de Soldar y Accesorios",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Abrasivos Sólidos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Herramientas Eléctricas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rodamientos y transmisión de Potencia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,http://www.sedisa.com.pe
ACCRESCERE E.I.R.L.,Certiquality Srl,1,0,53,P,Privately Held,0,E,201-500,1989,5095822,1,86,Servicios medioambientales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BARI,70124,Via S. Matarrese 4,0039 080 5046077,0039 080 5046136,True,False,2966,3,Food & Beverage,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Environmental,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Health & Safety,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,www.certiquality.it
ACTIVA CONSULTING GROUP S.A.C.,G Y C GROUP SERVICE,1,0,2,P,Privately Held,0,C,11-50,2008,2781679,1,123,Subcontrataciones/Offshoring,LIMA,054,Las Casuarianas A-5 JLByR,N/A,054-766754,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,4,Marketing BTL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arquitectura de Edificaciones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arquitectura Comercial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Servicios Generales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,www.gycgrupo.com
ACTIVA GROUP S.A.C.,G Y C GROUP SERVICE,1,0,3,P,Privately Held,0,C,11-50,2008,2781679,1,123,Subcontrataciones/Offshoring,LIMA,054,Las Casuarianas A-5 JLByR,N/A,054-766754,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69,4,Marketing BTL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arquitectura de Edificaciones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Arquitectura Comercial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Servicios Generales,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,www.gycgrupo.com
ACTIVOS DE INDUSTRIAS S.A.C.,DRESDEN LAB S.A.C.,1,2,5,P,Privately Held,0,C,11-50,2003,10310550,1,15,Industria farmacéutica,ATE,LIMA 3,Av. Los Ingenieros 130,+511-348-5870,+511-348-5874,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,4,PRINCIPIOS ACTIVOS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FARMACEUTICA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,VETERINARIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ENZIMAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,www.dresdenlab.com
ADMINISTRACION CONTABILIDAD Y SERVICIOS S.A.C.,A & C SERVICIOS Y CONSULTORIAS EMPRESARIALES,1,2,76,P,Privately Held,0,B,2-10,2013,13450370,1,47,Contabilidad,LIMA,012 LA MOLINA, Cal. los Sauces ,N/A,N/A,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,4,CONTABILIDAD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,RR.HH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PLANILLA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ASESORIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADMINISTRACION DE CONDOMINIOS E.I.R.L.,jp&jaden E I R L,1,1,3,P,Privately Held,0,C,11-50,2014,9468506,1,59,Servicios públicos,LIMA,01,DIRECCION FISCAL: CALLE BAHIA 276 SOL DE LA MOLINA REAL,00000,982058179,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7,4,limpieza industrial,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,limpieza de centros hospitalarios y oficinas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,limpieza de instituciones educativas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,limpieza de centros empresariales y condominios,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,wwwjpyjaden.com
ADVANCED COMPUTER S.R.L.,ADVANCED COMPUTER SYSTEMS A.C.S. S.R.L.,1,2,31,N/A,N/A,0,D,51-200,N/A,24628556,1,3,Equipo informático,ROMA,00139,VIA DELLA BUFALOTTA 378,N/A,+39 63936331,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADVANTAGE INTEGRATORS S.A.C.,MOST Technologies,1,0,2,P,Privately Held,0,D,51-200,1999,14930,1,4,Programas informáticos, , ,"7 Martin Gehl str.,",+972 (3) 911-5500,+972 (3) 911-5511,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2176,11,Legacy Migration,Pathfinder Conversion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mainframe Modernization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Natural Adabas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mainframe Experts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COBOL DB2,N/A,N/A,N/A,Re hosting,Test Automation,Java & C#,Mainframe Test Automation,Lotus Notes conversion,OPS,Operating Subsidiary,N/A,www.mosttechnologies.com
ADVANTAGE TECHNOLOGIES S.A.C.,MOST Technologies,1,2,108,P,Privately Held,0,D,51-200,1999,14930,1,4,Programas informáticos, , ,"7 Martin Gehl str.,",+972 (3) 911-5500,+972 (3) 911-5511,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2176,11,Legacy Migration,Pathfinder Conversion,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mainframe Modernization,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Natural Adabas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mainframe Experts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COBOL DB2,N/A,N/A,N/A,Re hosting,Test Automation,Java & C#,Mainframe Test Automation,Lotus Notes conversion,OPS,Operating Subsidiary,N/A,www.mosttechnologies.com
AGUA & AMBIENTE CORP PERU S.A.C.,ECOMPAL S.A.C,1,2,12,P,Privately Held,0,C,11-50,2010,3997304,1,54,Productos químicos,PACHACAMAC,LIMA-19,"CALLE 3, MZ. V, LOTE 16",N/A,N/A,True,True,MIRAFLORES,LIMA-18,CALLE GENERAL SALAVERY 250,N/A,N/A,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49,28,BIOPESTICIDES,BIO AQUACULTURE,VETERINARY,AGRICULTURE,VEGETAL EXTRACTION,ROTENON,ROTENONE,ROTENONA,BIO ROTEN,BIO CHEMICAL,DERRIS,BIOPISCICIDES,VEGETABLE SOLUTIONS,ESSENTIAL OILS ,SCHINUS MOLLE,AMBRETTE,Krameria lappacea,Valeriana officinalis,Genipa americana,vegetable dyes,N/A,N/A,BIOAGRICULTURE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BIOCIDE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BIOAQUACULTURE,N/A,N/A,N/A,BIODEGRADABLE,FUNGICIDE,ACARICIDE,PISCICIDE,BIO AGRICULTURE,OPR,Operating,N/A,www.ecompal.com.pe
AIRE INDUSTRIAL E.I.R.L.,REVASA SERVICIOS GENERALES EIRL,1,0,2,O,Self Owned,0,B,2-10,2017,11344187,1,135,Ingeniería industrial o mecánica,LIMA,051,MZ H1 LT 8 ,N/A,N/A,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,7,Instalaciones eléctricas industrial y domiciliarias,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mantenimiento y reparación de maquinarias pesada,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Acabados de edificaciones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mantenimiento de pozo a tierra,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Mantenimiento de tableros eléctricos,N/A,N/A,N/A,Mantenimiento y reparación de sistemas automatizados,Mantenimiento a grupos electrógenos,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIRE INDUSTRIAL E.I.R.L.,INDUSTRIA TECHNI PERÚ EIRL,1,1,2,O,Self Owned,0,C,11-50,2014,16215901,1,134,Importar y exportar,VENTANILLA,CALLAO06,AV. LOS PROFESIONALES S/N MZ. D LOTE 01 SANTA ROSA DE PACHACÚTEC,N/A,506-7627,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,4,MANTENIMIENTO Y REPARACION,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,BOMBAS DE VACÍO Y BOMBAS DE AGUA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"IMPORTACION, VENTA Y ALQUILER DE BOMBAS",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,TORNERIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,http://techniperu.com/
AL ASESORES S.A.C.,MESSIS Asesores de Seguros S.A.,1,0,70,O,Self Owned,0,C,11-50,1998,10953445,1,42,Seguros,CABA,C1084ABE,Maipu 267,N/A,N/A,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2882,1,Seguros,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,http://messisonline.com
ALENIA AERMACCHI S.P.A.,ALENIA AERMACCHI S.P.A.,1,0,2,N/A,N/A,0,D,51-200,N/A,24728657,1,94,Aeronáutica/Aviación,ROMA,00195,PIAZZA MONTE GRAPPA 4,N/A,N/A,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALENIA AERMACCHI S.P.A.,Matarrese S.r.l.,1,1,2,C,Public Company,0,E,201-500,2014,9349348,1,48,Construcción,BARI,70126,"Via A. Tocanini, 21 ",N/A,N/A,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,56,6,Infrastrutture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ingegneria ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edilizia ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qualità ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ambiente ,N/A,N/A,N/A,Sicurezza ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ALIMENTOS Y SERVICIOS LIMA S.A.C.,Asesoría y Capacitación en Alimentos y Bebidas Xperton S.A.C. Lima-Perú,1,1,2,S,Partnership,0,B,2-10,2015,6589725,1,34,Alimentación y bebidas,LIMA,03,Av. Javier Prado Este N° 7909 Dpto. 201 - ATE,N/A,(511) 348-8623,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48,9,Asesoría,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Capacitaciones,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Flujos de Proceso,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Desarrollo de Fórmulas,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Evaluación Sensorial,N/A,N/A,N/A,"Validaciones y Verificaciones BPM, HACCP",Estudio y Control de Defectos,Diseño y Análisis Estadístico,Representación Especializada,N/A,OPR,Operating,N/A,www.xperton.pe
ALL IN PERU S.A.C.,proveeduria lionard s.a.c,1,1,36,P,Privately Held,0,C,11-50,2005,576843,1,34,Alimentación y bebidas,CALLAO,CALLAO 1,Av.DULOPOYI 824 LA PERLA CALLAO,4295252,4533338,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1477,1,provee a los barcos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,.maritimalionard@terra.com
ALL SERVICE MJ S.A.C.,MJ PARTNERS & MANAGEMENTS SERVICE A subsidiary of Water Mayer Finance and Loans,N/A,N/A,1,P,Privately Held,0,C,11-50,1996,25037204,1,43,Servicios financieros,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ACCRA,151,"Meridian House, Ring Rd. Central, Private Mail Bag 16,Accra,Ghana",N/A,N/A,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,18,LOANS,AGRICULTURE,CONSTRUCTIONS,BANKING,MTN,MARITIME,AVIATION,SHIPPING,WATERWAYS,N/A,N/A,SBLC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,FUNDING,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,DRAFTS,N/A,N/A,N/A,BOUNDS,INVESTMENTS,BG,LTN,FINANCE,N/A,N/A,N/A,http://wfl-ghana.gr.tn/gh/
ALL SERVICE PERU S.A.C,proveeduria lionard s.a.c,1,0,3,P,Privately Held,0,C,11-50,2005,576843,1,34,Alimentación y bebidas,CALLAO,CALLAO 1,Av.DULOPOYI 824 LA PERLA CALLAO,4295252,4533338,True,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1477,1,provee a los barcos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,OPR,Operating,N/A,.maritimalionard@terra.com
